RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location
702324,2015169475,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/23/2015,05/22/2015,05/23/2015,13XX BLOCK OF MINOR AV,E,E3,8300.2016,-122.326438904,47.612449646,"(47.612449646, -122.326438904)"
702397,2015170007,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/23/2015,05/21/2015,,84XX BLOCK OF SEAVIEW PL NW,J,J1,3100.5006,-122.401802063,47.689243317,"(47.689243317, -122.401802063)"
702456,2015169493,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/23/2015,05/15/2015,05/18/2015,5XX BLOCK OF BOREN AV N,D,D3,7300.3005,-122.335830688,47.62387085,"(47.62387085, -122.335830688)"
702457,2015169762,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/23/2015,05/12/2015,05/19/2015,8XX BLOCK OF N 43 ST,B,B2,4900.5019,-122.347991943,47.659332275,"(47.659332275, -122.347991943)"
702741,2015167197,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/21/2015,05/21/2015,,62XX BLOCK OF 40 AV NE,U,U3,4200.2003,-122.284896851,47.674877167,"(47.674877167, -122.284896851)"
702522,2015169980,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/23/2015,05/23/2015,05/23/2015,1XX BLOCK OF S WASHINGTON ST,K,K2,9200.2023,-122.333526611,47.600883484,"(47.600883484, -122.333526611)"
702526,2015903478,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/25/2015,05/24/2015,05/25/2015,3XX BLOCK OF W LEE ST,Q,Q2,7000.4003,-122.361160278,47.631328583,"(47.631328583, -122.361160278)"
702530,2015903486,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/25/2015,05/25/2015,05/25/2015,18XX BLOCK OF 12 AV,E,E2,7500.4000,-122.316902161,47.618183136,"(47.618183136, -122.316902161)"
702560,2015903485,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/25/2015,05/25/2015,05/25/2015,E COLUMBIA ST / 12 AV,E,E2,8600.2009,-122.31678009,47.609226227,"(47.609226227, -122.31678009)"
702830,2015903578,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/22/2015,05/20/2015,05/21/2015,14XX BLOCK OF NW 62 ST,B,B1,3300.3015,-122.374893188,47.673816681,"(47.673816681, -122.374893188)"
702855,2015903419,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/22/2015,05/21/2015,05/21/2015,5XX BLOCK OF PINE ST,M,M2,8200.1003,-122.335929871,47.611904144,"(47.611904144, -122.335929871)"
702865,2015168568,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/22/2015,05/22/2015,,S JACKSON ST / 12 AV S,G,G3,9100.1004,-122.317222595,47.599185944,"(47.599185944, -122.317222595)"
702624,2015903371,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/20/2015,05/20/2015,05/20/2015,15XX BLOCK OF N 115 ST,N,N2,600.4020,-122.338088989,47.712303162,"(47.712303162, -122.338088989)"
702652,2015166617,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/21/2015,05/18/2015,05/20/2015,52XX BLOCK OF UNIVERSITY WY NE,U,U1,4400.4,-122.313034058,47.667491913,"(47.667491913, -122.313034058)"
702891,2015903426,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/22/2015,05/22/2015,05/22/2015,48XX BLOCK OF SAND POINT WY NE,U,U3,4100.4008,-122.283157349,47.664581299,"(47.664581299, -122.283157349)"
702895,2015167558,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/21/2015,05/20/2015,05/20/2015,5 AV / MADISON ST,K,K1,8100.2024,-122.331802368,47.606552124,"(47.606552124, -122.331802368)"
702896,2015168132,2399,1,THEFT-BICYCLE,2300,BIKE THEFT,05/22/2015,05/21/2015,05/21/2015,7XX BLOCK OF EASTLAKE AV E,D,D3,7300.1006,-122.329193115,47.625999451,"(47.625999451, -122.329193115)"
